# Chunk-averaged data for fix 5 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number v_T vx vy vz v_vx2 v_vy2 v_vz2 c_cols[1] c_cols[2] c_cols[3] c_cols[4] c_cols[5] c_cols[6]
1000000 800 500000.00000000064
  126 31.375 12.4806 0.124806 15695.8 -5.06743 1.77268 -30.5214 14900.9 15014.1 17172.4 -62.9306 -71.1178 -68.2532 1.04948 2.96069 1.2784
  127 31.625 12.1255 0.121255 16142.2 -4.10821 2.48108 -31.1789 15515.5 15344.7 17566.4 -66.8433 -69.3414 -75.95 1.45197 4.92494 -1.49837
  128 31.875 11.8064 0.118064 16269.9 -5.88797 -2.42717 -31.6653 15686.5 15562.5 17560.7 -68.3732 -61.1939 -75.8847 -2.51878 -3.60581 -1.18154
  129 32.125 11.6914 0.116914 16302.5 -5.51855 -1.62161 -31.3717 15329.4 15827.9 17750.3 -64.3495 -59.1368 -67.483 -4.58199 6.36699 -2.15446
  130 32.375 12.0078 0.120078 16137.7 -10.5368 -2.14713 -29.6752 15444 16015.5 16953.4 -53.1599 -52.425 -60.7494 -3.80574 4.62077 1.75699
  131 32.625 11.7532 0.117532 16142.5 -8.79274 -0.0516085 -30.84 14970.1 15852.6 17604.7 -64.6119 -70.6344 -72.538 -0.541812 8.82422 -6.87359
  132 32.875 11.2297 0.112297 16442.9 -9.29924 2.84378 -31.7212 15351.5 15901.2 18075.9 -64.9389 -70.9331 -71.1453 4.5597 3.3977 -0.347321
  133 33.125 11.1102 0.111102 16387.2 -6.5774 6.66683 -32.3119 15131.5 16047.6 17982.4 -74.0108 -86.0525 -91.7418 -6.98349 2.70115 -2.64498
  134 33.375 11.0645 0.110645 16307 -7.01218 2.66567 -32.4608 15622.8 15325.7 17972.5 -64.8935 -76.1561 -70.6071 -5.20903 -2.32372 3.47561
  135 33.625 11.2328 0.112328 16398.3 -6.87469 6.63171 -32.8705 16518.2 14964.8 17712 -60.1392 -61.1142 -73.6743 -0.998636 1.55663 -1.17882
  136 33.875 10.6881 0.106881 16352.2 -9.86928 4.24983 -33.6771 15972.6 14909.8 18174.1 -60.5508 -64.9379 -62.9784 -2.34273 6.74638 -5.60375
  137 34.125 10.5427 0.105427 16714.7 -9.72435 2.82951 -33.7535 16731.7 15074.7 18337.6 -59.9216 -64.0071 -70.6836 4.72461 0.553884 1.43367
  138 34.375 10.4227 0.104227 16382.3 -7.35226 1.89491 -33.0944 15708 15155.5 18283.5 -64.3768 -60.3358 -58.7124 -3.8498 2.31315 1.4488
  139 34.625 10.475 0.10475 16517.5 -6.43793 1.60534 -32.6061 15863.3 15710.1 17979.2 -74.3312 -54.7264 -74.0856 -1.73151 -0.788665 2.32171
  140 34.875 10.2556 0.102556 16422.9 -6.8199 3.94389 -32.7105 16285.2 15021.3 17962.2 -59.6008 -61.0527 -63.1691 2.43507 2.8179 0.572139
  141 35.125 10.3777 0.103777 16181.6 -9.6161 4.92426 -32.761 15435.9 15091.3 18017.6 -54.3494 -43.0993 -56.9327 -4.01288 -1.01562 1.90533
  142 35.375 9.91878 0.0991878 16419.7 -9.38993 3.76402 -32.9114 15675.7 15409.7 18173.6 -52.0415 -39.8015 -57.61 -2.92801 0.571835 -2.77599
  143 35.625 9.55755 0.0955755 16063 -5.53176 2.38946 -34.7315 14470.3 15206.4 18512.2 -50.388 -46.7318 -61.6739 -4.9104 -4.33189 -5.37519
  144 35.875 9.96492 0.0996492 15842.6 -9.73018 10.4542 -33.6048 14953 14711.9 17863 -58.817 -45.7955 -54.9419 0.053389 2.6567 2.37075
  145 36.125 10.1005 0.101005 15541.2 -7.91427 9.12458 -32.0406 15037.9 14294.7 17291.1 -49.1251 -54.7246 -48.7257 -4.53157 5.22729 1.53002
  146 36.375 9.7486 0.097486 16249.7 -8.9501 7.73842 -32.4585 16380.2 14745.6 17623.4 -63.768 -55.6613 -58.4913 0.955728 5.99514 -0.727144
  147 36.625 9.43886 0.0943886 16456.7 -3.3629 5.59969 -34.3165 15472.9 15576.6 18320.7 -63.27 -49.5494 -54.4218 6.01591 -2.02608 2.67356
  148 36.875 9.31429 0.0931429 16195.6 -4.40956 5.16087 -33.4267 15360.3 14908.5 18318 -56.3005 -56.2109 -53.06 0.0873601 -0.128216 4.04239
  149 37.125 9.07713 0.0907713 16486.6 -3.29009 3.26179 -35.0323 15352 15244.9 18863 -52.7004 -54.1925 -45.215 -7.04336 -0.562565 1.6381
  150 37.375 9.10663 0.0910663 16408.1 -2.87153 -2.0123 -34.152 15332.6 15350.9 18540.9 -46.2118 -58.5026 -56.4036 -0.186043 -2.05769 0.930066
  151 37.625 9.11733 0.0911733 16222 -0.558995 -3.57417 -34.4595 14986 15270.1 18409.9 -56.1624 -50.9294 -44.2901 -6.88674 1.74424 -1.39458
  152 37.875 8.99152 0.0899152 16276.5 -0.931223 -0.389795 -33.6064 14708.5 15812.5 18308.4 -46.4222 -62.2261 -55.0557 -2.5652 -4.83831 -6.88034
  153 38.125 9.17239 0.0917239 16853.5 2.10241 -3.15279 -34.3641 15079.7 17328.6 18152.3 -35.4616 -47.7942 -43.2207 -2.31758 -2.03619 -5.08785
  154 38.375 8.91352 0.0891352 16080 -2.75783 5.04582 -34.651 15455.5 14450.9 18333.5 -35.1833 -38.7697 -37.4354 -4.05685 1.3492 -1.92575
